Nom;Unit;Bottom_depth;Top_depth;Taille_unit;Facies;Grain_size;Environment;Comments_environment;Depostinional_environment_1;Depositional_environment_2;Interpretation_comments
A-PI;A1;18,3;18;0,3;Sandy silt;Sandy silt;Freshwater;;Fluvial channel;Distributary channel;
A-PI;A2;18;17,67;0,33;Medium sand;Medium sand;Freshwater;;Fluvial channel;Distributary channel;
A-PI;B1;17,67;17;0,67;Silt;Silt;Freshwater;;Fluvial channel;Distributary channel;
A-PI;B2;16,06;15,79;0,27;Peat;Peat;Freshwater;;Fluvial channel;Distributary channel;
A-PI;C1;15,79;15,21;0,58;Bedded chalk;-;Freshwater;;Swamp;;
A-PI;C2;15,21;14,36;0,85;Sandy silt with fine sand laminations;Sandy silt to fine sand;Freshwater;;Swamp;;
A-PI;D;14,36;11,64;2,72;Parallel bedding of silt, with few sand laminations;Silt;Freshwater;;Distal floodplain;;
A-PI;E1;11,64;9,39;2,25;Medium sand;Medium sand;Freshwater;;Fluvial channel;Distributary channel;
A-PI;E2;9,39;9,3;0,09;Silt;Silt;Freshwater;;Fluvial channel;Distributary channel;
A-PI;E3;9,3;8,67;0,63;Medium sand;Medium sand;Freshwater;;Fluvial channel;Distributary channel;
A-PI;E4;8,67;8,24;0,43;Laminated silt and fine sand;Silt to fine sand;Freshwater;;Fluvial channel;Distributary channel;
A-PI;E5;8,24;7,36;0,88;Fine sand;Fine sand;Freshwater;;Fluvial channel;Distributary channel;
A-PI;F;7,36;5,42;1,94;Silt with a sandy silt lamination and terrestrial gastropod at the top;Silt;Freshwater to terrestrial;;Fluvial channel;Distributary channel;
A-PI;G1;5,42;4;1,42;Sandy silt;Sandy silt;Terrestrial;;Proximal floodplain;;
A-PI;G2;4;3,25;0,75;Laminated fine sand and sandy silt;Sandy silt to fine sand;Terrestrial;;Proximal floodplain;;
A-PI;G3;3,25;2,42;0,83;Sandy silt;Sandy silt;Terrestrial;;Proximal floodplain;;
A-PI;G4;2,42;1,33;1,09;Laminated fine sand and sandy silt;Sandy silt to fine sand;Terrestrial;;Proximal floodplain;;
A-PI;G5;1,33;1,09;0,24;Sandy silt;Sandy silt;Terrestrial;;Proximal floodplain;;
A-PI;G6;1,09;0,88;0,21;Fine sand;Fine sand;Terrestrial;;Proximal floodplain;;
A-PI;H;0,88;0;0,88;Through cross stratification with medium sand and terrestrial gastropods;Medium sand;Terrestrial;;Crevasse splay;;
R1;A;40;38;2;Gravels;Gravel;Freshwater;;Fluvial channel;;
R1;B;38;37;1;Silty clay with few fine sand laminations;Silty clay to sandy silt;Freshwater;Freshwater gastropods, plant and wood fragments;Swamp;;
R1;C;37;36;1;Laminated silty clay and silty sand;Silty clay to fine sand;Brackish;Marine bivalve;Central estuary;;
R1;D;36;34,5;1,5;Sand;Sand;Marine;Plant and wood fragments;Bay-head delta;;
R1;E;34,5;33,5;1;Silty clay;Silty clay;Brackish;Plant and wood fragments;Inner estuary;;
R1;F;33,5;31,8;1,7;Silty clay with few fine sand laminations;Silty clay;Freshwater to brackish;Freshwater gastropods, plant and wood fragments;Swamp;;
R1;G1;31,8;30;1,2;Sand;Sand;Brackish and shallow marine;;Subdelta;;
R1;G2;30;29;1;Silty clay;Silty clay;Brackish and shallow marine;;Subdelta;;
