Core_Name;Dating_methods;depth;Depth bellow surface - DOWN (m);Height - UP (m);Height - DOWN (m);C14_BP_not_calibrated;C14_BP_Uncertainty;Material_dated;C12/C13 - ‰
A-PI;AMS 14C;;;0.69;0.7;2035;50;Charcoal;-26.65
A-PI;AMS 14C;;;-3.46;-3.47;4170;65;Peat;-28.03
A-PI;AMS 14C;;;-6.67;-6.68;5795;70;Peat;-27.67
A-PI;14C Conventional;;;-10.79;-10.8;6715;60;Peat;-27.62
A-PI;14C Conventional;;;-10.94;-10.95;7130;65;Peat;-27.76
A-PI;AMS 14C;;;-13.26;-13.27;6820;60;Charcoal;-27.38
R1;AMS 14C;37.19;-;;;9490;50;Organic mud;
R1;AMS 14C;35.21;-;;;9190;50;Wood;
R1;AMS 14C;34.2;-;;;9240;50;Organic mud;
R1;AMS 14C;32.15;-;;;9180;210;Coal;
R1;AMS 14C;29.78;-;;;8880;350;Coal;
R1;AMS 14C;27.05;-;;;8350;50;Organic mud;
R1;AMS 14C;24.83;-;;;7770;50;Shells;
R1;AMS 14C;22.33;-;;;6130;35;Coal;
R1;AMS 14C;21.3;-;;;4270;130;Coal;
R1;AMS 14C;15.3;-;;;3740;35;Coal;
R1;AMS 14C;14.31;-;;;3760;60;Coal;
R1;AMS 14C;7.73;-;;;2220;60;Coal;
R2;AMS 14C;46.2;-;;;11110;50;Marine gastropod shell;
R2;AMS 14C;46.2;-;;;9950;60;Coal;
R2;AMS 14C;45.33;-;;;10120;50;Wood fragments;
R2;AMS 14C;45.2;-;;;10670;50;Shells;
R2;AMS 14C;43.44;-;;;10070;50;Organic matter;
R2;AMS 14C;39.51;-;;;9430;60;Coal;
R2;AMS 14C;35.34;-;;;9180;50;Organic matter;
R2;AMS 14C;34.11;-;;;4520;35;Shells;
R2;AMS 14C;29.89;-;;;3030;30;Shelll;
R2;AMS 14C;29.89;-;;;3530;40;Coal;
R2;AMS 14C;25.27;-;;;2510;30;Coal;
R2;AMS 14C;20.3;-;;;2575;35;Coal;
R2;AMS 14C;18.36;-;;;2185;30;Coal;
R2;AMS 14C;16.82;-;;;2340;40;Coal;
R2;AMS 14C;14.86;-;;;2330;35;Coal;
R2;AMS 14C;12.89;-;;;2135;30;Coal;
R2;AMS 14C;10.61;-;;;2080;30;Coal;
R2;AMS 14C;9.34;-;;;2350;30;Shell;
R2;AMS 14C;9.34;-;;;2010;30;Coal;
